E2F1 CyclinA Cdc25A pAPC Cdh1 UbcH10 CyclinA
0 0 0 0 0 0 0
0 0 0 0 0 1 0
0 0 0 0 1 0 0
0 0 0 0 1 1 0
0 0 0 1 0 0 0
0 0 0 1 0 1 0
0 0 0 1 1 0 0
0 0 0 1 1 1 0
0 0 1 0 0 0 0
0 0 1 0 0 1 0
0 0 1 0 1 0 0
0 0 1 0 1 1 0
0 0 1 1 0 0 0
0 0 1 1 0 1 0
0 0 1 1 1 0 0
0 0 1 1 1 1 0
0 1 0 0 0 0 1
0 1 0 0 0 1 1
0 1 0 0 1 0 1
0 1 0 0 1 1 0
0 1 0 1 0 0 0
0 1 0 1 0 1 0
0 1 0 1 1 0 0
0 1 0 1 1 1 0
0 1 1 0 0 0 1
0 1 1 0 0 1 1
0 1 1 0 1 0 1
0 1 1 0 1 1 0
0 1 1 1 0 0 0
0 1 1 1 0 1 0
0 1 1 1 1 0 0
0 1 1 1 1 1 0
1 0 0 0 0 0 0
1 0 0 0 0 1 0
1 0 0 0 1 0 0
1 0 0 0 1 1 0
1 0 0 1 0 0 0
1 0 0 1 0 1 0
1 0 0 1 1 0 0
1 0 0 1 1 1 0
1 0 1 0 0 0 1
1 0 1 0 0 1 1
1 0 1 0 1 0 1
1 0 1 0 1 1 0
1 0 1 1 0 0 0
1 0 1 1 0 1 0
1 0 1 1 1 0 0
1 0 1 1 1 1 0
1 1 0 0 0 0 1
1 1 0 0 0 1 1
1 1 0 0 1 0 1
1 1 0 0 1 1 0
1 1 0 1 0 0 0
1 1 0 1 0 1 0
1 1 0 1 1 0 0
1 1 0 1 1 1 0
1 1 1 0 0 0 1
1 1 1 0 0 1 1
1 1 1 0 1 0 1
1 1 1 0 1 1 0
1 1 1 1 0 0 0
1 1 1 1 0 1 0
1 1 1 1 1 0 0
1 1 1 1 1 1 0
