CAD Replication UV MMR BER NER DNA_Lesions DNA_Lesions
0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 1
0 0 0 0 0 1 0 0
0 0 0 0 0 1 1 1
0 0 0 0 1 0 0 0
0 0 0 0 1 0 1 1
0 0 0 0 1 1 0 0
0 0 0 0 1 1 1 1
0 0 0 1 0 0 0 0
0 0 0 1 0 0 1 1
0 0 0 1 0 1 0 0
0 0 0 1 0 1 1 1
0 0 0 1 1 0 0 0
0 0 0 1 1 0 1 1
0 0 0 1 1 1 0 0
0 0 0 1 1 1 1 0
0 0 1 0 0 0 0 1
0 0 1 0 0 0 1 1
0 0 1 0 0 1 0 1
0 0 1 0 0 1 1 1
0 0 1 0 1 0 0 1
0 0 1 0 1 0 1 1
0 0 1 0 1 1 0 1
0 0 1 0 1 1 1 1
0 0 1 1 0 0 0 1
0 0 1 1 0 0 1 1
0 0 1 1 0 1 0 1
0 0 1 1 0 1 1 1
0 0 1 1 1 0 0 1
0 0 1 1 1 0 1 1
0 0 1 1 1 1 0 0
0 0 1 1 1 1 1 1
0 1 0 0 0 0 0 1
0 1 0 0 0 0 1 1
0 1 0 0 0 1 0 1
0 1 0 0 0 1 1 1
0 1 0 0 1 0 0 1
0 1 0 0 1 0 1 1
0 1 0 0 1 1 0 1
0 1 0 0 1 1 1 1
0 1 0 1 0 0 0 1
0 1 0 1 0 0 1 1
0 1 0 1 0 1 0 1
0 1 0 1 0 1 1 1
0 1 0 1 1 0 0 1
0 1 0 1 1 0 1 1
0 1 0 1 1 1 0 0
0 1 0 1 1 1 1 0
0 1 1 0 0 0 0 1
0 1 1 0 0 0 1 1
0 1 1 0 0 1 0 1
0 1 1 0 0 1 1 1
0 1 1 0 1 0 0 1
0 1 1 0 1 0 1 1
0 1 1 0 1 1 0 1
0 1 1 0 1 1 1 1
0 1 1 1 0 0 0 1
0 1 1 1 0 0 1 1
0 1 1 1 0 1 0 1
0 1 1 1 0 1 1 1
0 1 1 1 1 0 0 1
0 1 1 1 1 0 1 1
0 1 1 1 1 1 0 1
0 1 1 1 1 1 1 1
1 0 0 0 0 0 0 1
1 0 0 0 0 0 1 1
1 0 0 0 0 1 0 1
1 0 0 0 0 1 1 1
1 0 0 0 1 0 0 1
1 0 0 0 1 0 1 1
1 0 0 0 1 1 0 1
1 0 0 0 1 1 1 1
1 0 0 1 0 0 0 1
1 0 0 1 0 0 1 1
1 0 0 1 0 1 0 1
1 0 0 1 0 1 1 1
1 0 0 1 1 0 0 1
1 0 0 1 1 0 1 1
1 0 0 1 1 1 0 1
1 0 0 1 1 1 1 1
1 0 1 0 0 0 0 1
1 0 1 0 0 0 1 1
1 0 1 0 0 1 0 1
1 0 1 0 0 1 1 1
1 0 1 0 1 0 0 1
1 0 1 0 1 0 1 1
1 0 1 0 1 1 0 1
1 0 1 0 1 1 1 1
1 0 1 1 0 0 0 1
1 0 1 1 0 0 1 1
1 0 1 1 0 1 0 1
1 0 1 1 0 1 1 1
1 0 1 1 1 0 0 1
1 0 1 1 1 0 1 1
1 0 1 1 1 1 0 1
1 0 1 1 1 1 1 1
1 1 0 0 0 0 0 1
1 1 0 0 0 0 1 1
1 1 0 0 0 1 0 1
1 1 0 0 0 1 1 1
1 1 0 0 1 0 0 1
1 1 0 0 1 0 1 1
1 1 0 0 1 1 0 1
1 1 0 0 1 1 1 1
1 1 0 1 0 0 0 1
1 1 0 1 0 0 1 1
1 1 0 1 0 1 0 1
1 1 0 1 0 1 1 1
1 1 0 1 1 0 0 1
1 1 0 1 1 0 1 1
1 1 0 1 1 1 0 1
1 1 0 1 1 1 1 1
1 1 1 0 0 0 0 1
1 1 1 0 0 0 1 1
1 1 1 0 0 1 0 1
1 1 1 0 0 1 1 1
1 1 1 0 1 0 0 1
1 1 1 0 1 0 1 1
1 1 1 0 1 1 0 1
1 1 1 0 1 1 1 1
1 1 1 1 0 0 0 1
1 1 1 1 0 0 1 1
1 1 1 1 0 1 0 1
1 1 1 1 0 1 1 1
1 1 1 1 1 0 0 1
1 1 1 1 1 0 1 1
1 1 1 1 1 1 0 1
1 1 1 1 1 1 1 1
