E2F1 CAD 4N_DNA CyclinE Cdc25A Replication Replication
0 0 0 0 0 0 0
0 0 0 0 0 1 0 
0 0 0 0 1 0 0
0 0 0 0 1 1 0
0 0 0 1 0 0 0
0 0 0 1 0 1 0
0 0 0 1 1 0 0
0 0 0 1 1 1 0 
0 0 1 0 0 0 0
0 0 1 0 0 1 0
0 0 1 0 1 0 0
0 0 1 0 1 1 0
0 0 1 1 0 0 0
0 0 1 1 0 1 0
0 0 1 1 1 0 0
0 0 1 1 1 1 0
0 1 0 0 0 0 0
0 1 0 0 0 1 0
0 1 0 0 1 0 0
0 1 0 0 1 1 0
0 1 0 1 0 0 0
0 1 0 1 0 1 0
0 1 0 1 1 0 0
0 1 0 1 1 1 0
0 1 1 0 0 0 0
0 1 1 0 0 1 0
0 1 1 0 1 0 0
0 1 1 0 1 1 0
0 1 1 1 0 0 0
0 1 1 1 0 1 0
0 1 1 1 1 0 0
0 1 1 1 1 1 0
1 0 0 0 0 0 0
1 0 0 0 0 1 1 
1 0 0 0 1 0 0
1 0 0 0 1 1 1
1 0 0 1 0 0 0
1 0 0 1 0 1 1
1 0 0 1 1 0 1
1 0 0 1 1 1 1 
1 0 1 0 0 0 0
1 0 1 0 0 1 0
1 0 1 0 1 0 0
1 0 1 0 1 1 0
1 0 1 1 0 0 0
1 0 1 1 0 1 0
1 0 1 1 1 0 0
1 0 1 1 1 1 0
1 1 0 0 0 0 0
1 1 0 0 0 1 0
1 1 0 0 1 0 0
1 1 0 0 1 1 0
1 1 0 1 0 0 0
1 1 0 1 0 1 0
1 1 0 1 1 0 0
1 1 0 1 1 1 0
1 1 1 0 0 0 0
1 1 1 0 0 1 0
1 1 1 0 1 0 0
1 1 1 0 1 1 0
1 1 1 1 0 0 0
1 1 1 1 0 1 0
1 1 1 1 1 0 0
1 1 1 1 1 1 0
